protocol	max(SR,BoN,VGS)	VGS-only	BoN-only	SR-only	sign_stable_across_denoms
moa	-0.0213	+0.0508	+0.0295	+0.0165	False
debate-gpt4o	-0.0302	+0.0509	+0.0265	+0.0026	False
best-of-n-gpt4o	-0.0368	+0.0443	+0.0199	-0.0040	False
self-refine	-0.0377	+0.0344	+0.0131	+0.0000	False
moa-nosynth	-0.0411	+0.0310	+0.0097	-0.0034	False
vgs-gpt4o	-0.0424	+0.0387	+0.0143	-0.0096	False
magicore-gemini	-0.0439	+0.0372	+0.0128	-0.0111	False
best-of-n	-0.0508	+0.0213	+0.0000	-0.0131	False
cross-chain	-0.0532	+0.0189	-0.0024	-0.0155	False
homo-chain	-0.0555	+0.0166	-0.0047	-0.0178	False
self-refine-gpt4o	-0.0558	+0.0253	+0.0009	-0.0230	False
magicore	-0.0628	+0.0093	-0.0120	-0.0251	False
magicore-mixed	-0.0682	+0.0128	-0.0115	-0.0354	False
vgs	-0.0721	+0.0000	-0.0213	-0.0344	True
vgs-gemini	-0.0733	+0.0078	-0.0166	-0.0405	False
homo-chain-gpt4o	-0.0765	+0.0046	-0.0198	-0.0437	False
magicore-gpt4o	-0.0793	+0.0018	-0.0225	-0.0465	False
debate	-0.0881	-0.0160	-0.0373	-0.0504	True
moa-same-model	-0.0885	-0.0165	-0.0378	-0.0508	True
best-of-n-gemini	-0.0964	-0.0153	-0.0397	-0.0636	True
single-shot	-0.1066	-0.0345	-0.0558	-0.0689	True
debate-mixed	-0.1112	-0.0301	-0.0545	-0.0784	True
hpe-gemini	-0.1160	-0.1091	-0.1022	-0.0905	True
self-refine-gemini	-0.1643	-0.0832	-0.1076	-0.1315	True
debate-gemini	-0.1664	-0.0853	-0.1097	-0.1336	True
homo-chain-gemini	-0.1734	-0.0923	-0.1167	-0.1406	True
hpe-gpt4o	-0.1745	-0.0818	-0.1097	-0.1370	True
hpe-mixed	-0.1760	-0.1513	-0.1642	-0.1385	True
single-shot-gpt4o	-0.1846	-0.1035	-0.1279	-0.1518	True
best-of-3	-0.2039	+0.0124	-0.0802	-0.1509	False
hpe	-0.2249	-0.1528	-0.1741	-0.1872	True
single-shot-gemini	-0.2413	-0.1602	-0.1846	-0.2085	True
